$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,10.7,10.7,0.21
0.0,0.0,10.8,10.8,0.2
0.0,0.0,10.9,10.9,0.194
0.0,0.0,11.0,11.0,0.212
0.0,0.0,11.1,11.1,0.192
0.0,0.0,11.2,11.2,0.178
0.0,0.0,11.3,11.3,0.206
0.0,0.0,11.4,11.4,0.198
0.0,0.0,11.5,11.5,0.196
0.0,0.0,11.6,11.6,0.17
0.0,0.0,11.7,11.7,0.19
0.0,0.0,11.8,11.8,0.196
0.0,0.0,11.9,11.9,0.224
0.0,0.0,12.0,12.0,0.186
0.0,0.0,12.1,12.1,0.206
0.0,0.0,12.2,12.2,0.196
0.0,0.0,12.3,12.3,0.188
0.0,0.0,12.4,12.4,0.194
0.0,0.0,12.5,12.5,0.186
0.0,0.0,12.6,12.6,0.182
0.0,0.0,12.7,12.7,0.19
0.0,0.0,12.8,12.8,0.192
0.0,0.0,12.9,12.9,0.214
0.0,0.0,13.0,13.0,0.218
0.0,0.0,13.1,13.1,0.192
0.0,0.0,13.2,13.2,0.182
0.0,0.0,13.3,13.3,0.216
0.0,0.0,13.4,13.4,0.194
0.0,0.0,13.5,13.5,0.172
0.0,0.0,13.6,13.6,0.204
0.0,0.0,13.7,13.7,0.232
0.0,0.0,13.8,13.8,0.212
0.0,0.0,13.9,13.9,0.186
0.0,0.0,14.0,14.0,0.196
0.0,0.0,14.1,14.1,0.178
0.0,0.0,14.2,14.2,0.182
0.0,0.0,14.3,14.3,0.208
0.0,0.0,14.4,14.4,0.228
0.0,0.0,14.5,14.5,0.202
0.0,0.0,14.6,14.6,0.18
0.0,0.0,14.7,14.7,0.192
0.0,0.0,14.8,14.8,0.212
0.0,0.0,14.9,14.9,0.198
0.0,0.0,15.0,15.0,0.208
0.1,0.1,0.0,0.0,0.794
0.1,0.1,0.1,0.1,0.77
0.1,0.1,0.2,0.2,0.772
0.1,0.1,0.3,0.3,0.738
0.1,0.1,0.4,0.4,0.74
0.1,0.1,0.5,0.5,0.686
0.1,0.1,0.6,0.6,0.684
0.1,0.1,0.7,0.7,0.714
0.1,0.1,0.8,0.8,0.714
0.1,0.1,0.9,0.9,0.678
0.1,0.1,1.0,1.0,0.682
0.1,0.1,1.1,1.1,0.688
0.1,0.1,1.2,1.2,0.646
0.1,0.1,1.3,1.3,0.618
0.1,0.1,1.4,1.4,0.618
0.1,0.1,1.5,1.5,0.592
0.1,0.1,1.6,1.6,0.608
0.1,0.1,1.7,1.7,0.578
0.1,0.1,1.8,1.8,0.582
0.1,0.1,1.9,1.9,0.556
0.1,0.1,2.0,2.0,0.536
0.1,0.1,2.1,2.1,0.542
0.1,0.1,2.2,2.2,0.558
0.1,0.1,2.3,2.3,0.518
0.1,0.1,2.4,2.4,0.504
0.1,0.1,2.5,2.5,0.508
0.1,0.1,2.6,2.6,0.452
0.1,0.1,2.7,2.7,0.436
0.1,0.1,2.8,2.8,0.45
0.1,0.1,2.9,2.9,0.496
0.1,0.1,3.0,3.0,0.442
0.1,0.1,3.1,3.1,0.44
0.1,0.1,3.2,3.2,0.446
0.1,0.1,3.3,3.3,0.448
0.1,0.1,3.4,3.4,0.402
0.1,0.1,3.5,3.5,0.408
0.1,0.1,3.6,3.6,0.37
0.1,0.1,3.7,3.7,0.424
0.1,0.1,3.8,3.8,0.356
0.1,0.1,3.9,3.9,0.374
0.1,0.1,4.0,4.0,0.356
0.1,0.1,4.1,4.1,0.372
0.1,0.1,4.2,4.2,0.422
0.1,0.1,4.3,4.3,0.376
0.1,0.1,4.4,4.4,0.364
0.1,0.1,4.5,4.5,0.318
0.1,0.1,4.6,4.6,0.326
0.1,0.1,4.7,4.7,0.338
0.1,0.1,4.8,4.8,0.286
0.1,0.1,4.9,4.9,0.292
0.1,0.1,5.0,5.0,0.312
0.1,0.1,5.1,5.1,0.27
0.1,0.1,5.2,5.2,0.298
0.1,0.1,5.3,5.3,0.302
0.1,0.1,5.4,5.4,0.296
0.1,0.1,5.5,5.5,0.334
0.1,0.1,5.6,5.6,0.28
0.1,0.1,5.7,5.7,0.282
0.1,0.1,5.8,5.8,0.282
0.1,0.1,5.9,5.9,0.25
0.1,0.1,6.0,6.0,0.246
0.1,0.1,6.1,6.1,0.216
0.1,0.1,6.2,6.2,0.252
0.1,0.1,6.3,6.3,0.232
0.1,0.1,6.4,6.4,0.25
0.1,0.1,6.5,6.5,0.254
0.1,0.1,6.6,6.6,0.242
0.1,0.1,6.7,6.7,0.222
0.1,0.1,6.8,6.8,0.216
0.1,0.1,6.9,6.9,0.244
0.1,0.1,7.0,7.0,0.234
0.1,0.1,7.1,7.1,0.246
0.1,0.1,7.2,7.2,0.228
0.1,0.1,7.3,7.3,0.206
0.1,0.1,7.4,7.4,0.208
0.1,0.1,7.5,7.5,0.202
0.1,0.1,7.6,7.6,0.208
0.1,0.1,7.7,7.7,0.18
0.1,0.1,7.8,7.8,0.238
0.1,0.1,7.9,7.9,0.198
0.1,0.1,8.0,8.0,0.18
0.1,0.1,8.1,8.1,0.194
0.1,0.1,8.2,8.2,0.222
0.1,0.1,8.3,8.3,0.192
0.1,0.1,8.4,8.4,0.184
0.1,0.1,8.5,8.5,0.186
0.1,0.1,8.6,8.6,0.21
0.1,0.1,8.7,8.7,0.208
0.1,0.1,8.8,8.8,0.164
0.1,0.1,8.9,8.9,0.17
0.1,0.1,9.0,9.0,0.236
0.1,0.1,9.1,9.1,0.224
0.1,0.1,9.2,9.2,0.206
0.1,0.1,9.3,9.3,0.192
0.1,0.1,9.4,9.4,0.186
0.1,0.1,9.5,9.5,0.2
0.1,0.1,9.6,9.6,0.222
0.1,0.1,9.7,9.7,0.22
0.1,0.1,9.8,9.8,0.206
0.1,0.1,9.9,9.9,0.212
0.1,0.1,10.0,10.0,0.208
0.1,0.1,10.1,10.1,0.216
0.1,0.1,10.2,10.2,0.202
0.1,0.1,10.3,10.3,0.188
0.1,0.1,10.4,10.4,0.204
0.1,0.1,10.5,10.5,0.158
0.1,0.1,10.6,10.6,0.204
0.1,0.1,10.7,10.7,0.2
0.1,0.1,10.8,10.8,0.2
0.1,0.1,10.9,10.9,0.188
0.1,0.1,11.0,11.0,0.23
0.1,0.1,11.1,11.1,0.188
0.1,0.1,11.2,11.2,0.18
0.1,0.1,11.3,11.3,0.202
0.1,0.1,11.4,11.4,0.202
0.1,0.1,11.5,11.5,0.2
0.1,0.1,11.6,11.6,0.214
0.1,0.1,11.7,11.7,0.176
0.1,0.1,11.8,11.8,0.19
0.1,0.1,11.9,11.9,0.218
0.1,0.1,12.0,12.0,0.194
0.1,0.1,12.1,12.1,0.16
0.1,0.1,12.2,12.2,0.214
0.1,0.1,12.3,12.3,0.18
0.1,0.1,12.4,12.4,0.196
0.1,0.1,12.5,12.5,0.202
0.1,0.1,12.6,12.6,0.21
0.1,0.1,12.7,12.7,0.17
0.1,0.1,12.8,12.8,0.202
0.1,0.1,12.9,12.9,0.208
0.1,0.1,13.0,13.0,0.176
0.1,0.1,13.1,13.1,0.198
0.1,0.1,13.2,13.2,0.21
0.1,0.1,13.3,13.3,0.202
0.1,0.1,13.4,13.4,0.228
0.1,0.1,13.5,13.5,0.21
0.1,0.1,13.6,13.6,0.23
0.1,0.1,13.7,13.7,0.194
0.1,0.1,13.8,13.8,0.208
0.1,0.1,13.9,13.9,0.214
0.1,0.1,14.0,14.0,0.158
0.1,0.1,14.1,14.1,0.206
0.1,0.1,14.2,14.2,0.182
0.1,0.1,14.3,14.3,0.18
0.1,0.1,14.4,14.4,0.224
0.1,0.1,14.5,14.5,0.212
0.1,0.1,14.6,14.6,0.188
0.1,0.1,14.7,14.7,0.166
0.1,0.1,14.8,14.8,0.222
0.1,0.1,14.9,14.9,0.19
0.1,0.1,15.0,15.0,0.208
0.2,0.2,0.0,0.0,0.78
0.2,0.2,0.1,0.1,0.794
0.2,0.2,0.2,0.2,0.75
0.2,0.2,0.3,0.3,0.728
0.2,0.2,0.4,0.4,0.736
0.2,0.2,0.5,0.5,0.714
0.2,0.2,0.6,0.6,0.716
0.2,0.2,0.7,0.7,0.694
0.2,0.2,0.8,0.8,0.676
0.2,0.2,0.9,0.9,0.678
0.2,0.2,1.0,1.0,0.672
0.2,0.2,1.1,1.1,0.686
0.2,0.2,1.2,1.2,0.646
0.2,0.2,1.3,1.3,0.652
0.2,0.2,1.4,1.4,0.65
0.2,0.2,1.5,1.5,0.648
0.2,0.2,1.6,1.6,0.614
0.2,0.2,1.7,1.7,0.626
0.2,0.2,1.8,1.8,0.574
0.2,0.2,1.9,1.9,0.564
0.2,0.2,2.0,2.0,0.608
0.2,0.2,2.1,2.1,0.53
0.2,0.2,2.2,2.2,0.54
0.2,0.2,2.3,2.3,0.56
0.2,0.2,2.4,2.4,0.546
0.2,0.2,2.5,2.5,0.552
0.2,0.2,2.6,2.6,0.494
0.2,0.2,2.7,2.7,0.506
0.2,0.2,2.8,2.8,0.468
0.2,0.2,2.9,2.9,0.486
0.2,0.2,3.0,3.0,0.48
0.2,0.2,3.1,3.1,0.434
0.2,0.2,3.2,3.2,0.432
0.2,0.2,3.3,3.3,0.426
0.2,0.2,3.4,3.4,0.392
0.2,0.2,3.5,3.5,0.402
0.2,0.2,3.6,3.6,0.422
0.2,0.2,3.7,3.7,0.414
0.2,0.2,3.8,3.8,0.422
0.2,0.2,3.9,3.9,0.348
0.2,0.2,4.0,4.0,0.352
0.2,0.2,4.1,4.1,0.344
0.2,0.2,4.2,4.2,0.374
0.2,0.2,4.3,4.3,0.364
0.2,0.2,4.4,4.4,0.378
0.2,0.2,4.5,4.5,0.312
0.2,0.2,4.6,4.6,0.372
0.2,0.2,4.7,4.7,0.308
0.2,0.2,4.8,4.8,0.27
0.2,0.2,4.9,4.9,0.302
0.2,0.2,5.0,5.0,0.286
0.2,0.2,5.1,5.1,0.298
0.2,0.2,5.2,5.2,0.306
0.2,0.2,5.3,5.3,0.282
0.2,0.2,5.4,5.4,0.276
0.2,0.2,5.5,5.5,0.322
0.2,0.2,5.6,5.6,0.292
0.2,0.2,5.7,5.7,0.262
0.2,0.2,5.8,5.8,0.288
0.2,0.2,5.9,5.9,0.23
0.2,0.2,6.0,6.0,0.262
0.2,0.2,6.1,6.1,0.288
0.2,0.2,6.2,6.2,0.258
0.2,0.2,6.3,6.3,0.25
0.2,0.2,6.4,6.4,0.248
0.2,0.2,6.5,6.5,0.238
0.2,0.2,6.6,6.6,0.238
0.2,0.2,6.7,6.7,0.25
0.2,0.2,6.8,6.8,0.244
0.2,0.2,6.9,6.9,0.212
0.2,0.2,7.0,7.0,0.216
0.2,0.2,7.1,7.1,0.21
0.2,0.2,7.2,7.2,0.214
0.2,0.2,7.3,7.3,0.224
0.2,0.2,7.4,7.4,0.22
0.2,0.2,7.5,7.5,0.216
0.2,0.2,7.6,7.6,0.218
0.2,0.2,7.7,7.7,0.212
0.2,0.2,7.8,7.8,0.178
0.2,0.2,7.9,7.9,0.198
0.2,0.2,8.0,8.0,0.186
0.2,0.2,8.1,8.1,0.216
0.2,0.2,8.2,8.2,0.218
0.2,0.2,8.3,8.3,0.212
0.2,0.2,8.4,8.4,0.17
0.2,0.2,8.5,8.5,0.22
0.2,0.2,8.6,8.6,0.196
0.2,0.2,8.7,8.7,0.202
0.2,0.2,8.8,8.8,0.204
0.2,0.2,8.9,8.9,0.196
0.2,0.2,9.0,9.0,0.182
0.2,0.2,9.1,9.1,0.182
0.2,0.2,9.2,9.2,0.212
0.2,0.2,9.3,9.3,0.218
0.2,0.2,9.4,9.4,0.196
0.2,0.2,9.5,9.5,0.18
0.2,0.2,9.6,9.6,0.218
0.2,0.2,9.7,9.7,0.17
0.2,0.2,9.8,9.8,0.212
0.2,0.2,9.9,9.9,0.192
0.2,0.2,10.0,10.0,0.226
0.2,0.2,10.1,10.1,0.214
0.2,0.2,10.2,10.2,0.198
0.2,0.2,10.3,10.3,0.212
0.2,0.2,10.4,10.4,0.176
0.2,0.2,10.5,10.5,0.206
0.2,0.2,10.6,10.6,0.176
0.2,0.2,10.7,10.7,0.252
0.2,0.2,10.8,10.8,0.24
0.2,0.2,10.9,10.9,0.2
0.2,0.2,11.0,11.0,0.192
0.2,0.2,11.1,11.1,0.2
0.2,0.2,11.2,11.2,0.192
0.2,0.2,11.3,11.3,0.214
0.2,0.2,11.4,11.4,0.21
0.2,0.2,11.5,11.5,0.172
0.2,0.2,11.6,11.6,0.216
0.2,0.2,11.7,11.7,0.212
0.2,0.2,11.8,11.8,0.198
0.2,0.2,11.9,11.9,0.186
0.2,0.2,12.0,12.0,0.2
0.2,0.2,12.1,12.1,0.204
0.2,0.2,12.2,12.2,0.188
0.2,0.2,12.3,12.3,0.236
0.2,0.2,12.4,12.4,0.22
0.2,0.2,12.5,12.5,0.206
0.2,0.2,12.6,12.6,0.2
0.2,0.2,12.7,12.7,0.18
0.2,0.2,12.8,12.8,0.182
0.2,0.2,12.9,12.9,0.15
0.2,0.2,13.0,13.0,0.2
0.2,0.2,13.1,13.1,0.196
0.2,0.2,13.2,13.2,0.206
0.2,0.2,13.3,13.3,0.23
0.2,0.2,13.4,13.4,0.188
0.2,0.2,13.5,13.5,0.23
0.2,0.2,13.6,13.6,0.21
0.2,0.2,13.7,13.7,0.228
0.2,0.2,13.8,13.8,0.188
0.2,0.2,13.9,13.9,0.166
0.2,0.2,14.0,14.0,0.184
0.2,0.2,14.1,14.1,0.214
0.2,0.2,14.2,14.2,0.204
0.2,0.2,14.3,14.3,0.182
0.2,0.2,14.4,14.4,0.182
0.2,0.2,14.5,14.5,0.19
0.2,0.2,14.6,14.6,0.208
0.2,0.2,14.7,14.7,0.212
0.2,0.2,14.8,14.8,0.228
0.2,0.2,14.9,14.9,0.204
0.2,0.2,15.0,15.0,0.174
0.3,0.3,0.0,0.0,0.814
0.3,0.3,0.1,0.1,0.78
0.3,0.3,0.2,0.2,0.75
0.3,0.3,0.3,0.3,0.734
0.3,0.3,0.4,0.4,0.764
0.3,0.3,0.5,0.5,0.722
0.3,0.3,0.6,0.6,0.744
0.3,0.3,0.7,0.7,0.764
0.3,0.3,0.8,0.8,0.672
0.3,0.3,0.9,0.9,0.692
0.3,0.3,1.0,1.0,0.694
0.3,0.3,1.1,1.1,0.666
0.3,0.3,1.2,1.2,0.694
0.3,0.3,1.3,1.3,0.66
0.3,0.3,1.4,1.4,0.64
0.3,0.3,1.5,1.5,0.646
0.3,0.3,1.6,1.6,0.65
0.3,0.3,1.7,1.7,0.6
0.3,0.3,1.8,1.8,0.612
0.3,0.3,1.9,1.9,0.574
0.3,0.3,2.0,2.0,0.556
0.3,0.3,2.1,2.1,0.58
0.3,0.3,2.2,2.2,0.568
0.3,0.3,2.3,2.3,0.564
0.3,0.3,2.4,2.4,0.526
0.3,0.3,2.5,2.5,0.498
0.3,0.3,2.6,2.6,0.54
0.3,0.3,2.7,2.7,0.468
0.3,0.3,2.8,2.8,0.514
0.3,0.3,2.9,2.9,0.512
0.3,0.3,3.0,3.0,0.488
0.3,0.3,3.1,3.1,0.446
0.3,0.3,3.2,3.2,0.448
0.3,0.3,3.3,3.3,0.45
0.3,0.3,3.4,3.4,0.398
0.3,0.3,3.5,3.5,0.438
0.3,0.3,3.6,3.6,0.396
0.3,0.3,3.7,3.7,0.41
0.3,0.3,3.8,3.8,0.384
0.3,0.3,3.9,3.9,0.374
0.3,0.3,4.0,4.0,0.396
0.3,0.3,4.1,4.1,0.35
0.3,0.3,4.2,4.2,0.354
0.3,0.3,4.3,4.3,0.352
0.3,0.3,4.4,4.4,0.366
0.3,0.3,4.5,4.5,0.344
0.3,0.3,4.6,4.6,0.358
0.3,0.3,4.7,4.7,0.358
0.3,0.3,4.8,4.8,0.324
0.3,0.3,4.9,4.9,0.326
0.3,0.3,5.0,5.0,0.298
0.3,0.3,5.1,5.1,0.336
0.3,0.3,5.2,5.2,0.284
0.3,0.3,5.3,5.3,0.302
0.3,0.3,5.4,5.4,0.302
0.3,0.3,5.5,5.5,0.312
0.3,0.3,5.6,5.6,0.308
0.3,0.3,5.7,5.7,0.264
0.3,0.3,5.8,5.8,0.28
0.3,0.3,5.9,5.9,0.242
0.3,0.3,6.0,6.0,0.25
0.3,0.3,6.1,6.1,0.28
0.3,0.3,6.2,6.2,0.268
0.3,0.3,6.3,6.3,0.284
0.3,0.3,6.4,6.4,0.248
0.3,0.3,6.5,6.5,0.274
0.3,0.3,6.6,6.6,0.212
0.3,0.3,6.7,6.7,0.272
0.3,0.3,6.8,6.8,0.234
0.3,0.3,6.9,6.9,0.218
0.3,0.3,7.0,7.0,0.226
0.3,0.3,7.1,7.1,0.23
0.3,0.3,7.2,7.2,0.222
0.3,0.3,7.3,7.3,0.188
0.3,0.3,7.4,7.4,0.246
0.3,0.3,7.5,7.5,0.214
0.3,0.3,7.6,7.6,0.186
0.3,0.3,7.7,7.7,0.224
0.3,0.3,7.8,7.8,0.17
0.3,0.3,7.9,7.9,0.24
0.3,0.3,8.0,8.0,0.226
0.3,0.3,8.1,8.1,0.232
0.3,0.3,8.2,8.2,0.232
0.3,0.3,8.3,8.3,0.192
0.3,0.3,8.4,8.4,0.204
0.3,0.3,8.5,8.5,0.212
0.3,0.3,8.6,8.6,0.192
0.3,0.3,8.7,8.7,0.188
0.3,0.3,8.8,8.8,0.212
0.3,0.3,8.9,8.9,0.19
0.3,0.3,9.0,9.0,0.216
0.3,0.3,9.1,9.1,0.206
0.3,0.3,9.2,9.2,0.202
0.3,0.3,9.3,9.3,0.2
0.3,0.3,9.4,9.4,0.166
0.3,0.3,9.5,9.5,0.178
0.3,0.3,9.6,9.6,0.212
0.3,0.3,9.7,9.7,0.214
0.3,0.3,9.8,9.8,0.238
0.3,0.3,9.9,9.9,0.236
0.3,0.3,10.0,10.0,0.216
0.3,0.3,10.1,10.1,0.214
0.3,0.3,10.2,10.2,0.21
0.3,0.3,10.3,10.3,0.206
0.3,0.3,10.4,10.4,0.218
0.3,0.3,10.5,10.5,0.184
0.3,0.3,10.6,10.6,0.232
0.3,0.3,10.7,10.7,0.192
0.3,0.3,10.8,10.8,0.196
0.3,0.3,10.9,10.9,0.2
0.3,0.3,11.0,11.0,0.184
0.3,0.3,11.1,11.1,0.22
0.3,0.3,11.2,11.2,0.208
0.3,0.3,11.3,11.3,0.24
0.3,0.3,11.4,11.4,0.202
0.3,0.3,11.5,11.5,0.2
0.3,0.3,11.6,11.6,0.214
0.3,0.3,11.7,11.7,0.184
0.3,0.3,11.8,11.8,0.17
0.3,0.3,11.9,11.9,0.238
0.3,0.3,12.0,12.0,0.204
0.3,0.3,12.1,12.1,0.194
0.3,0.3,12.2,12.2,0.168
0.3,0.3,12.3,12.3,0.206
0.3,0.3,12.4,12.4,0.206
0.3,0.3,12.5,12.5,0.208
0.3,0.3,12.6,12.6,0.18
0.3,0.3,12.7,12.7,0.186
0.3,0.3,12.8,12.8,0.222
0.3,0.3,12.9,12.9,0.246
0.3,0.3,13.0,13.0,0.204
0.3,0.3,13.1,13.1,0.19
0.3,0.3,13.2,13.2,0.218
0.3,0.3,13.3,13.3,0.204
0.3,0.3,13.4,13.4,0.22
0.3,0.3,13.5,13.5,0.202
0.3,0.3,13.6,13.6,0.196
0.3,0.3,13.7,13.7,0.184
0.3,0.3,13.8,13.8,0.206
0.3,0.3,13.9,13.9,0.18
0.3,0.3,14.0,14.0,0.218
0.3,0.3,14.1,14.1,0.198
0.3,0.3,14.2,14.2,0.234
0.3,0.3,14.3,14.3,0.236
0.3,0.3,14.4,14.4,0.184
0.3,0.3,14.5,14.5,0.182
0.3,0.3,14.6,14.6,0.204
0.3,0.3,14.7,14.7,0.198
0.3,0.3,14.8,14.8,0.232
0.3,0.3,14.9,14.9,0.17
0.3,0.3,15.0,15.0,0.224
0.4,0.4,0.0,0.0,0.782
0.4,0.4,0.1,0.1,0.822
0.4,0.4,0.2,0.2,0.772
0.4,0.4,0.3,0.3,0.736
0.4,0.4,0.4,0.4,0.744
0.4,0.4,0.5,0.5,0.73
0.4,0.4,0.6,0.6,0.688
0.4,0.4,0.7,0.7,0.75
0.4,0.4,0.8,0.8,0.77
0.4,0.4,0.9,0.9,0.704
0.4,0.4,1.0,1.0,0.692
0.4,0.4,1.1,1.1,0.686
0.4,0.4,1.2,1.2,0.624
0.4,0.4,1.3,1.3,0.65
0.4,0.4,1.4,1.4,0.666
0.4,0.4,1.5,1.5,0.616
0.4,0.4,1.6,1.6,0.644
0.4,0.4,1.7,1.7,0.574
0.4,0.4,1.8,1.8,0.626
0.4,0.4,1.9,1.9,0.59
0.4,0.4,2.0,2.0,0.598
0.4,0.4,2.1,2.1,0.586
0.4,0.4,2.2,2.2,0.578
0.4,0.4,2.3,2.3,0.56
0.4,0.4,2.4,2.4,0.53
0.4,0.4,2.5,2.5,0.462
0.4,0.4,2.6,2.6,0.512
0.4,0.4,2.7,2.7,0.502
0.4,0.4,2.8,2.8,0.486
0.4,0.4,2.9,2.9,0.486
0.4,0.4,3.0,3.0,0.464
0.4,0.4,3.1,3.1,0.488
0.4,0.4,3.2,3.2,0.484
0.4,0.4,3.3,3.3,0.474
0.4,0.4,3.4,3.4,0.434
0.4,0.4,3.5,3.5,0.466
0.4,0.4,3.6,3.6,0.432
0.4,0.4,3.7,3.7,0.416
0.4,0.4,3.8,3.8,0.376
0.4,0.4,3.9,3.9,0.408
0.4,0.4,4.0,4.0,0.368
0.4,0.4,4.1,4.1,0.426
0.4,0.4,4.2,4.2,0.386
0.4,0.4,4.3,4.3,0.4
0.4,0.4,4.4,4.4,0.366
0.4,0.4,4.5,4.5,0.362
0.4,0.4,4.6,4.6,0.328
0.4,0.4,4.7,4.7,0.324
0.4,0.4,4.8,4.8,0.378
0.4,0.4,4.9,4.9,0.348
0.4,0.4,5.0,5.0,0.322
0.4,0.4,5.1,5.1,0.288
0.4,0.4,5.2,5.2,0.298
0.4,0.4,5.3,5.3,0.312
0.4,0.4,5.4,5.4,0.346
0.4,0.4,5.5,5.5,0.298
0.4,0.4,5.6,5.6,0.266
0.4,0.4,5.7,5.7,0.292
0.4,0.4,5.8,5.8,0.292
0.4,0.4,5.9,5.9,0.278
0.4,0.4,6.0,6.0,0.28
0.4,0.4,6.1,6.1,0.25
0.4,0.4,6.2,6.2,0.254
0.4,0.4,6.3,6.3,0.262
0.4,0.4,6.4,6.4,0.238
0.4,0.4,6.5,6.5,0.252
0.4,0.4,6.6,6.6,0.248
0.4,0.4,6.7,6.7,0.228
0.4,0.4,6.8,6.8,0.236
0.4,0.4,6.9,6.9,0.224
0.4,0.4,7.0,7.0,0.226
0.4,0.4,7.1,7.1,0.246
0.4,0.4,7.2,7.2,0.226
0.4,0.4,7.3,7.3,0.216
0.4,0.4,7.4,7.4,0.234
0.4,0.4,7.5,7.5,0.216
0.4,0.4,7.6,7.6,0.208
0.4,0.4,7.7,7.7,0.232
0.4,0.4,7.8,7.8,0.218
0.4,0.4,7.9,7.9,0.26
0.4,0.4,8.0,8.0,0.218
0.4,0.4,8.1,8.1,0.214
0.4,0.4,8.2,8.2,0.194
0.4,0.4,8.3,8.3,0.194
0.4,0.4,8.4,8.4,0.208
0.4,0.4,8.5,8.5,0.184
0.4,0.4,8.6,8.6,0.204
0.4,0.4,8.7,8.7,0.192
0.4,0.4,8.8,8.8,0.204
0.4,0.4,8.9,8.9,0.214
