$\mu_{h_1}$,$\mu_{h_2}$,$\mu_{x_1}$,$\mu_{x_2}$,success_rate
0.0,0.0,0.0,0.0,0.364
0.0,0.0,0.1,0.1,0.36
0.0,0.0,0.2,0.2,0.378
0.0,0.0,0.3,0.3,0.342
0.0,0.0,0.4,0.4,0.332
0.0,0.0,0.5,0.5,0.314
0.0,0.0,0.6,0.6,0.284
0.0,0.0,0.7,0.7,0.324
0.0,0.0,0.8,0.8,0.34
0.0,0.0,0.9,0.9,0.292
0.0,0.0,1.0,1.0,0.246
0.0,0.0,1.1,1.1,0.334
0.0,0.0,1.2,1.2,0.28
0.0,0.0,1.3,1.3,0.27
0.0,0.0,1.4,1.4,0.23
0.0,0.0,1.5,1.5,0.228
0.0,0.0,1.6,1.6,0.236
0.0,0.0,1.7,1.7,0.194
0.0,0.0,1.8,1.8,0.248
0.0,0.0,1.9,1.9,0.21
0.0,0.0,2.0,2.0,0.202
0.0,0.0,2.1,2.1,0.208
0.0,0.0,2.2,2.2,0.206
0.0,0.0,2.3,2.3,0.19
0.0,0.0,2.4,2.4,0.21
0.0,0.0,2.5,2.5,0.204
0.0,0.0,2.6,2.6,0.168
0.0,0.0,2.7,2.7,0.18
0.0,0.0,2.8,2.8,0.2
0.0,0.0,2.9,2.9,0.18
0.0,0.0,3.0,3.0,0.19
0.0,0.0,3.1,3.1,0.144
0.0,0.0,3.2,3.2,0.196
0.0,0.0,3.3,3.3,0.148
0.0,0.0,3.4,3.4,0.148
0.0,0.0,3.5,3.5,0.138
0.0,0.0,3.6,3.6,0.152
0.0,0.0,3.7,3.7,0.156
0.0,0.0,3.8,3.8,0.15
0.0,0.0,3.9,3.9,0.11
0.0,0.0,4.0,4.0,0.144
0.0,0.0,4.1,4.1,0.136
0.0,0.0,4.2,4.2,0.122
0.0,0.0,4.3,4.3,0.132
0.0,0.0,4.4,4.4,0.132
0.0,0.0,4.5,4.5,0.154
0.0,0.0,4.6,4.6,0.106
0.0,0.0,4.7,4.7,0.128
0.0,0.0,4.8,4.8,0.132
0.0,0.0,4.9,4.9,0.142
0.0,0.0,5.0,5.0,0.136
0.0,0.0,5.1,5.1,0.128
0.0,0.0,5.2,5.2,0.14
0.0,0.0,5.3,5.3,0.114
0.0,0.0,5.4,5.4,0.102
0.0,0.0,5.5,5.5,0.12
0.0,0.0,5.6,5.6,0.112
0.0,0.0,5.7,5.7,0.092
0.0,0.0,5.8,5.8,0.11
0.0,0.0,5.9,5.9,0.112
0.0,0.0,6.0,6.0,0.12
0.0,0.0,6.1,6.1,0.104
0.0,0.0,6.2,6.2,0.096
0.0,0.0,6.3,6.3,0.1
0.0,0.0,6.4,6.4,0.1
0.0,0.0,6.5,6.5,0.1
0.0,0.0,6.6,6.6,0.116
0.0,0.0,6.7,6.7,0.136
0.0,0.0,6.8,6.8,0.114
0.0,0.0,6.9,6.9,0.102
0.0,0.0,7.0,7.0,0.1
0.0,0.0,7.1,7.1,0.096
0.0,0.0,7.2,7.2,0.112
0.0,0.0,7.3,7.3,0.1
0.0,0.0,7.4,7.4,0.092
0.0,0.0,7.5,7.5,0.084
0.0,0.0,7.6,7.6,0.102
0.0,0.0,7.7,7.7,0.078
0.0,0.0,7.8,7.8,0.102
0.0,0.0,7.9,7.9,0.106
0.0,0.0,8.0,8.0,0.094
0.0,0.0,8.1,8.1,0.082
0.0,0.0,8.2,8.2,0.106
0.0,0.0,8.3,8.3,0.098
0.0,0.0,8.4,8.4,0.098
0.0,0.0,8.5,8.5,0.11
0.0,0.0,8.6,8.6,0.12
0.0,0.0,8.7,8.7,0.13
0.0,0.0,8.8,8.8,0.106
0.0,0.0,8.9,8.9,0.086
0.0,0.0,9.0,9.0,0.112
0.0,0.0,9.1,9.1,0.092
0.0,0.0,9.2,9.2,0.106
0.0,0.0,9.3,9.3,0.094
0.0,0.0,9.4,9.4,0.102
0.0,0.0,9.5,9.5,0.088
0.0,0.0,9.6,9.6,0.12
0.0,0.0,9.7,9.7,0.094
0.0,0.0,9.8,9.8,0.082
0.0,0.0,9.9,9.9,0.11
0.0,0.0,10.0,10.0,0.104
0.0,0.0,10.1,10.1,0.112
0.0,0.0,10.2,10.2,0.096
0.0,0.0,10.3,10.3,0.102
0.0,0.0,10.4,10.4,0.118
0.0,0.0,10.5,10.5,0.096
0.0,0.0,10.6,10.6,0.106
0.0,0.0,10.7,10.7,0.102
0.0,0.0,10.8,10.8,0.114
0.0,0.0,10.9,10.9,0.1
0.0,0.0,11.0,11.0,0.096
0.0,0.0,11.1,11.1,0.12
0.0,0.0,11.2,11.2,0.12
0.0,0.0,11.3,11.3,0.1
0.0,0.0,11.4,11.4,0.104
0.0,0.0,11.5,11.5,0.114
0.0,0.0,11.6,11.6,0.1
0.0,0.0,11.7,11.7,0.112
0.0,0.0,11.8,11.8,0.116
0.0,0.0,11.9,11.9,0.116
0.0,0.0,12.0,12.0,0.092
0.0,0.0,12.1,12.1,0.088
0.0,0.0,12.2,12.2,0.08
0.0,0.0,12.3,12.3,0.096
0.0,0.0,12.4,12.4,0.096
0.0,0.0,12.5,12.5,0.078
0.0,0.0,12.6,12.6,0.112
0.0,0.0,12.7,12.7,0.116
0.0,0.0,12.8,12.8,0.116
0.0,0.0,12.9,12.9,0.106
0.0,0.0,13.0,13.0,0.09
0.0,0.0,13.1,13.1,0.098
0.0,0.0,13.2,13.2,0.1
0.0,0.0,13.3,13.3,0.118
0.0,0.0,13.4,13.4,0.104
0.0,0.0,13.5,13.5,0.098
0.0,0.0,13.6,13.6,0.092
0.0,0.0,13.7,13.7,0.114
0.0,0.0,13.8,13.8,0.096
0.0,0.0,13.9,13.9,0.108
0.0,0.0,14.0,14.0,0.088
0.0,0.0,14.1,14.1,0.088
0.0,0.0,14.2,14.2,0.098
0.0,0.0,14.3,14.3,0.07
0.0,0.0,14.4,14.4,0.116
0.0,0.0,14.5,14.5,0.116
0.0,0.0,14.6,14.6,0.088
0.0,0.0,14.7,14.7,0.092
0.0,0.0,14.8,14.8,0.106
0.0,0.0,14.9,14.9,0.098
0.0,0.0,15.0,15.0,0.096
0.1,0.1,0.0,0.0,0.34
0.1,0.1,0.1,0.1,0.382
0.1,0.1,0.2,0.2,0.38
0.1,0.1,0.3,0.3,0.37
0.1,0.1,0.4,0.4,0.35
0.1,0.1,0.5,0.5,0.348
0.1,0.1,0.6,0.6,0.328
0.1,0.1,0.7,0.7,0.306
0.1,0.1,0.8,0.8,0.316
0.1,0.1,0.9,0.9,0.302
0.1,0.1,1.0,1.0,0.266
0.1,0.1,1.1,1.1,0.284
0.1,0.1,1.2,1.2,0.272
0.1,0.1,1.3,1.3,0.264
0.1,0.1,1.4,1.4,0.276
0.1,0.1,1.5,1.5,0.268
0.1,0.1,1.6,1.6,0.276
0.1,0.1,1.7,1.7,0.246
0.1,0.1,1.8,1.8,0.246
0.1,0.1,1.9,1.9,0.218
0.1,0.1,2.0,2.0,0.216
0.1,0.1,2.1,2.1,0.236
0.1,0.1,2.2,2.2,0.21
0.1,0.1,2.3,2.3,0.204
0.1,0.1,2.4,2.4,0.182
0.1,0.1,2.5,2.5,0.216
0.1,0.1,2.6,2.6,0.172
0.1,0.1,2.7,2.7,0.176
0.1,0.1,2.8,2.8,0.192
0.1,0.1,2.9,2.9,0.176
0.1,0.1,3.0,3.0,0.174
0.1,0.1,3.1,3.1,0.144
0.1,0.1,3.2,3.2,0.182
0.1,0.1,3.3,3.3,0.134
0.1,0.1,3.4,3.4,0.14
0.1,0.1,3.5,3.5,0.15
0.1,0.1,3.6,3.6,0.188
0.1,0.1,3.7,3.7,0.19
0.1,0.1,3.8,3.8,0.16
0.1,0.1,3.9,3.9,0.15
0.1,0.1,4.0,4.0,0.158
0.1,0.1,4.1,4.1,0.138
0.1,0.1,4.2,4.2,0.14
0.1,0.1,4.3,4.3,0.162
0.1,0.1,4.4,4.4,0.148
0.1,0.1,4.5,4.5,0.108
0.1,0.1,4.6,4.6,0.122
0.1,0.1,4.7,4.7,0.138
0.1,0.1,4.8,4.8,0.11
0.1,0.1,4.9,4.9,0.158
0.1,0.1,5.0,5.0,0.128
0.1,0.1,5.1,5.1,0.138
0.1,0.1,5.2,5.2,0.12
0.1,0.1,5.3,5.3,0.144
0.1,0.1,5.4,5.4,0.164
0.1,0.1,5.5,5.5,0.124
0.1,0.1,5.6,5.6,0.096
0.1,0.1,5.7,5.7,0.108
0.1,0.1,5.8,5.8,0.14
0.1,0.1,5.9,5.9,0.12
0.1,0.1,6.0,6.0,0.126
0.1,0.1,6.1,6.1,0.09
0.1,0.1,6.2,6.2,0.108
0.1,0.1,6.3,6.3,0.112
0.1,0.1,6.4,6.4,0.094
0.1,0.1,6.5,6.5,0.108
0.1,0.1,6.6,6.6,0.108
0.1,0.1,6.7,6.7,0.136
0.1,0.1,6.8,6.8,0.118
0.1,0.1,6.9,6.9,0.084
0.1,0.1,7.0,7.0,0.12
0.1,0.1,7.1,7.1,0.1
0.1,0.1,7.2,7.2,0.076
0.1,0.1,7.3,7.3,0.12
0.1,0.1,7.4,7.4,0.116
0.1,0.1,7.5,7.5,0.088
0.1,0.1,7.6,7.6,0.1
0.1,0.1,7.7,7.7,0.118
0.1,0.1,7.8,7.8,0.092
0.1,0.1,7.9,7.9,0.096
0.1,0.1,8.0,8.0,0.098
0.1,0.1,8.1,8.1,0.102
0.1,0.1,8.2,8.2,0.09
0.1,0.1,8.3,8.3,0.098
0.1,0.1,8.4,8.4,0.104
0.1,0.1,8.5,8.5,0.114
0.1,0.1,8.6,8.6,0.08
0.1,0.1,8.7,8.7,0.12
0.1,0.1,8.8,8.8,0.1
0.1,0.1,8.9,8.9,0.086
0.1,0.1,9.0,9.0,0.102
0.1,0.1,9.1,9.1,0.084
0.1,0.1,9.2,9.2,0.094
0.1,0.1,9.3,9.3,0.092
0.1,0.1,9.4,9.4,0.09
0.1,0.1,9.5,9.5,0.102
0.1,0.1,9.6,9.6,0.092
0.1,0.1,9.7,9.7,0.096
0.1,0.1,9.8,9.8,0.102
0.1,0.1,9.9,9.9,0.104
0.1,0.1,10.0,10.0,0.086
0.1,0.1,10.1,10.1,0.122
0.1,0.1,10.2,10.2,0.128
0.1,0.1,10.3,10.3,0.108
0.1,0.1,10.4,10.4,0.136
0.1,0.1,10.5,10.5,0.1
0.1,0.1,10.6,10.6,0.102
0.1,0.1,10.7,10.7,0.112
0.1,0.1,10.8,10.8,0.088
0.1,0.1,10.9,10.9,0.09
0.1,0.1,11.0,11.0,0.112
0.1,0.1,11.1,11.1,0.096
0.1,0.1,11.2,11.2,0.108
0.1,0.1,11.3,11.3,0.078
0.1,0.1,11.4,11.4,0.096
0.1,0.1,11.5,11.5,0.102
0.1,0.1,11.6,11.6,0.108
0.1,0.1,11.7,11.7,0.104
0.1,0.1,11.8,11.8,0.092
0.1,0.1,11.9,11.9,0.086
0.1,0.1,12.0,12.0,0.084
0.1,0.1,12.1,12.1,0.092
0.1,0.1,12.2,12.2,0.09
0.1,0.1,12.3,12.3,0.088
0.1,0.1,12.4,12.4,0.092
0.1,0.1,12.5,12.5,0.1
0.1,0.1,12.6,12.6,0.106
0.1,0.1,12.7,12.7,0.112
